Date,Close,
10/02/2011,0.272264,-0.003%
11/02/2011,0.272264,0.000%
14/02/2011,0.272264,0.000%
15/02/2011,0.272272,0.003%
16/02/2011,0.272264,-0.003%
17/02/2011,0.272331,0.025%
18/02/2011,0.272264,-0.025%
21/02/2011,0.272272,0.003%
22/02/2011,0.272264,-0.003%
23/02/2011,0.272272,0.003%
24/02/2011,0.272272,0.000%
25/02/2011,0.272279,0.003%
28/02/2011,0.272272,-0.003%
01/03/2011,0.272264,-0.003%
02/03/2011,0.272272,0.003%
03/03/2011,0.272272,0.000%
04/03/2011,0.272264,-0.003%
07/03/2011,0.272272,0.003%
08/03/2011,0.272272,0.000%
09/03/2011,0.272272,0.000%
10/03/2011,0.272272,0.000%
11/03/2011,0.272264,-0.003%
14/03/2011,0.272264,0.000%
15/03/2011,0.272272,0.003%
16/03/2011,0.272272,0.000%
17/03/2011,0.272272,0.000%
18/03/2011,0.272272,0.000%
21/03/2011,0.272272,0.000%
22/03/2011,0.272264,-0.003%
23/03/2011,0.272272,0.003%
24/03/2011,0.272272,0.000%
25/03/2011,0.272272,0.000%
28/03/2011,0.272272,0.000%
29/03/2011,0.272272,0.000%
30/03/2011,0.272272,0.000%
31/03/2011,0.272287,0.006%
01/04/2011,0.272287,0.000%
04/04/2011,0.272346,0.022%
05/04/2011,0.272287,-0.022%
06/04/2011,0.272287,0.000%
07/04/2011,0.272279,-0.003%
08/04/2011,0.272279,0.000%
11/04/2011,0.272272,-0.003%
12/04/2011,0.272272,0.000%
13/04/2011,0.272272,0.000%
14/04/2011,0.272264,-0.003%
15/04/2011,0.272272,0.003%
18/04/2011,0.272272,0.000%
19/04/2011,0.272272,0.000%
20/04/2011,0.272272,0.000%
21/04/2011,0.272272,0.000%
22/04/2011,0.272272,0.000%
25/04/2011,0.272272,0.000%
26/04/2011,0.272264,-0.003%
27/04/2011,0.272264,0.000%
28/04/2011,0.272264,0.000%
29/04/2011,0.272264,0.000%
02/05/2011,0.272272,0.003%
03/05/2011,0.272272,0.000%
04/05/2011,0.272272,0.000%
05/05/2011,0.272264,-0.003%
06/05/2011,0.272272,0.003%
09/05/2011,0.272272,0.000%
10/05/2011,0.272272,0.000%
11/05/2011,0.272272,0.000%
12/05/2011,0.272264,-0.003%
13/05/2011,0.272272,0.003%
16/05/2011,0.272272,0.000%
17/05/2011,0.272272,0.000%
18/05/2011,0.272272,0.000%
19/05/2011,0.272272,0.000%
20/05/2011,0.272272,0.000%
23/05/2011,0.272264,-0.003%
24/05/2011,0.272264,0.000%
25/05/2011,0.272272,0.003%
26/05/2011,0.272272,0.000%
27/05/2011,0.272272,0.000%
30/05/2011,0.272331,0.022%
31/05/2011,0.272272,-0.022%
01/06/2011,0.272272,0.000%
02/06/2011,0.272264,-0.003%
03/06/2011,0.272272,0.003%
06/06/2011,0.272272,0.000%
07/06/2011,0.272272,0.000%
08/06/2011,0.272272,0.000%
09/06/2011,0.272272,0.000%
10/06/2011,0.272272,0.000%
13/06/2011,0.272272,0.000%
14/06/2011,0.272331,0.022%
15/06/2011,0.272264,-0.025%
16/06/2011,0.272272,0.003%
17/06/2011,0.272264,-0.003%
20/06/2011,0.272264,0.000%
21/06/2011,0.272272,0.003%
22/06/2011,0.272264,-0.003%
23/06/2011,0.272264,0.000%
24/06/2011,0.272324,0.022%
27/06/2011,0.272264,-0.022%
28/06/2011,0.272264,0.000%
29/06/2011,0.272264,0.000%
30/06/2011,0.272264,0.000%
01/07/2011,0.272272,0.003%
04/07/2011,0.272339,0.025%
05/07/2011,0.272272,-0.025%
06/07/2011,0.272264,-0.003%
07/07/2011,0.272264,0.000%
08/07/2011,0.272272,0.003%
11/07/2011,0.272272,0.000%
12/07/2011,0.272272,0.000%
13/07/2011,0.272272,0.000%
14/07/2011,0.272272,0.000%
15/07/2011,0.272272,0.000%
18/07/2011,0.272279,0.003%
19/07/2011,0.272264,-0.006%
20/07/2011,0.272272,0.003%
21/07/2011,0.272279,0.003%
22/07/2011,0.272272,-0.003%
25/07/2011,0.272264,-0.003%
26/07/2011,0.272272,0.003%
27/07/2011,0.272272,0.000%
28/07/2011,0.272264,-0.003%
29/07/2011,0.272264,0.000%
01/08/2011,0.272339,0.028%
02/08/2011,0.272339,0.000%
03/08/2011,0.272339,0.000%
04/08/2011,0.272339,0.000%
05/08/2011,0.272324,-0.006%
08/08/2011,0.272339,0.006%
09/08/2011,0.272331,-0.003%
10/08/2011,0.272339,0.003%
11/08/2011,0.272331,-0.003%
12/08/2011,0.272331,0.000%
15/08/2011,0.272339,0.003%
16/08/2011,0.272339,0.000%
17/08/2011,0.272339,0.000%
18/08/2011,0.272257,-0.030%
19/08/2011,0.272264,0.003%
22/08/2011,0.272264,0.000%
23/08/2011,0.272264,0.000%
24/08/2011,0.272264,0.000%
25/08/2011,0.272294,0.011%
26/08/2011,0.272301,0.003%
29/08/2011,0.272294,-0.003%
30/08/2011,0.272301,0.003%
31/08/2011,0.272301,0.000%
01/09/2011,0.272272,-0.011%
02/09/2011,0.272264,-0.003%
05/09/2011,0.272339,0.028%
06/09/2011,0.272272,-0.025%
07/09/2011,0.272264,-0.003%
08/09/2011,0.272264,0.000%
09/09/2011,0.272264,0.000%
12/09/2011,0.272279,0.006%
13/09/2011,0.272272,-0.003%
14/09/2011,0.272264,-0.003%
15/09/2011,0.272272,0.003%
16/09/2011,0.272264,-0.003%
19/09/2011,0.272339,0.028%
20/09/2011,0.272272,-0.025%
21/09/2011,0.272264,-0.003%
22/09/2011,0.272272,0.003%
23/09/2011,0.272331,0.022%
26/09/2011,0.272264,-0.025%
27/09/2011,0.272264,0.000%
28/09/2011,0.272272,0.003%
29/09/2011,0.272272,0.000%
30/09/2011,0.272264,-0.003%
03/10/2011,0.272264,0.000%
04/10/2011,0.272331,0.025%
05/10/2011,0.272272,-0.022%
06/10/2011,0.272264,-0.003%
07/10/2011,0.272264,0.000%
10/10/2011,0.272331,0.025%
11/10/2011,0.272339,0.003%
12/10/2011,0.272264,-0.028%
13/10/2011,0.272272,0.003%
14/10/2011,0.272272,0.000%
17/10/2011,0.272264,-0.003%
18/10/2011,0.272264,0.000%
19/10/2011,0.272272,0.003%
20/10/2011,0.272272,0.000%
21/10/2011,0.272264,-0.003%
24/10/2011,0.272264,0.000%
25/10/2011,0.272272,0.003%
26/10/2011,0.272272,0.000%
27/10/2011,0.272272,0.000%
28/10/2011,0.272272,0.000%
31/10/2011,0.272331,0.022%
01/11/2011,0.272331,0.000%
02/11/2011,0.272331,0.000%
03/11/2011,0.272264,-0.025%
04/11/2011,0.272264,0.000%
07/11/2011,0.272264,0.000%
08/11/2011,0.272264,0.000%
09/11/2011,0.272264,0.000%
10/11/2011,0.272264,0.000%
11/11/2011,0.272264,0.000%
14/11/2011,0.272331,0.025%
15/11/2011,0.272331,0.000%
16/11/2011,0.272331,0.000%
17/11/2011,0.272331,0.000%
18/11/2011,0.272331,0.000%
21/11/2011,0.272331,0.000%
22/11/2011,0.272331,0.000%
23/11/2011,0.272346,0.006%
24/11/2011,0.272339,-0.003%
25/11/2011,0.272339,0.000%
28/11/2011,0.272339,0.000%
29/11/2011,0.272353,0.005%
30/11/2011,0.272331,-0.008%
01/12/2011,0.272272,-0.022%
02/12/2011,0.272272,0.000%
05/12/2011,0.272272,0.000%
06/12/2011,0.272264,-0.003%
07/12/2011,0.272264,0.000%
08/12/2011,0.272272,0.003%
09/12/2011,0.272264,-0.003%
12/12/2011,0.272272,0.003%
13/12/2011,0.272264,-0.003%
14/12/2011,0.272272,0.003%
15/12/2011,0.272272,0.000%
16/12/2011,0.272264,-0.003%
19/12/2011,0.272264,0.000%
20/12/2011,0.272272,0.003%
21/12/2011,0.272324,0.019%
22/12/2011,0.272264,-0.022%
23/12/2011,0.272264,0.000%
26/12/2011,0.272316,0.019%
27/12/2011,0.272272,-0.016%
28/12/2011,0.272264,-0.003%
29/12/2011,0.272272,0.003%
30/12/2011,0.272264,-0.003%
02/01/2012,0.272324,0.022%
03/01/2012,0.272272,-0.019%
04/01/2012,0.272264,-0.003%
